title,studio,domestic_gross,foreign_gross,year,total_gross
Devil,Uni.,33600000.0,29100000.0,2010,62700000.0
127 Hours,Fox,18300000.0,42400000.0,2010,60700000.0
Tyler Perry's Why Did I Get Married Too?,LGF,60100000.0,578000.0,2010,60678000.0
Secretariat,BV,59700000.0,537000.0,2010,60237000.0
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,60200000.0
Morning Glory,Par.,31000000.0,29000000.0,2010,60000000.0
Remember Me,Sum.,19100000.0,37000000.0,2010,56100000.0
Cop Out,WB,44900000.0,10700000.0,2010,55600000.0
The Crazies,Over.,39100000.0,15700000.0,2010,54800000.0
From Paris with Love,LGF,24100000.0,28700000.0,2010,52800000.0
Daybreakers,LGF,30100000.0,21300000.0,2010,51400000.0
Alpha and Omega,LGF,25100000.0,25400000.0,2010,50500000.0
The Switch,Mira.,27800000.0,22100000.0,2010,49900000.0
She's Out of My League,Par.,32000000.0,17800000.0,2010,49800000.0
Death at a Funeral (2010),SGem,42700000.0,6300000.0,2010,49000000.0
How Do You Know,SPC,30200000.0,18500000.0,2010,48700000.0
Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,48200000.0
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010,47600000.0
Heartbreaker,IFC,504000.0,46900000.0,2010,47404000.0
The Spy Next Door,LGF,24300000.0,20900000.0,2010,45200000.0
"The Good, the Bad, the Weird",IFC,128000.0,44100000.0,2010,44228000.0
Machete,Fox,26600000.0,17500000.0,2010,44100000.0
The Girl Who Kicked the Hornet's Nest,MBox,5200000.0,38300000.0,2010,43500000.0
The Man From Nowhere,CJ,528000.0,42500000.0,2010,43028000.0
When in Rome,BV,32700000.0,10400000.0,2010,43100000.0
My Name is Khan,Fox,4000000.0,38300000.0,2010,42300000.0
Going the Distance,WB,17800000.0,24200000.0,2010,42000000.0
The Concert,Wein.,658000.0,40500000.0,2010,41158000.0
Agora,NM,619000.0,38400000.0,2010,39019000.0
For Colored Girls,LGF,37700000.0,17300.0,2010,37717300.0
Brooklyn's Finest,Over.,27200000.0,9300000.0,2010,36500000.0
Furry Vengeance,Sum.,17600000.0,18600000.0,2010,36200000.0
Faster,CBS,23200000.0,12400000.0,2010,35600000.0
The Kids Are All Right,Focus,20800000.0,13900000.0,2010,34700000.0
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,34200000.0
The Secret in Their Eyes,SPC,6400000.0,27600000.0,2010,34000000.0
Avatar: Special Edition,Fox,10700000.0,22500000.0,2010,33200000.0
Leap Year,Uni.,25900000.0,6700000.0,2010,32600000.0
You Again,BV,25700000.0,6300000.0,2010,32000000.0
Mesrine: Killer Instinct,MBox,552000.0,30500000.0,2010,31052000.0
The Losers,WB,23600000.0,5800000.0,2010,29400000.0
Case 39,ParV,13300000.0,14900000.0,2010,28200000.0
Ramona and Beezus,Fox,26200000.0,1100000.0,2010,27300000.0
Splice,WB,17000000.0,9800000.0,2010,26800000.0
Fair Game (2010),Sum.,9500000.0,14600000.0,2010,24100000.0
Let Me In,Over.,12100000.0,12000000.0,2010,24100000.0
Mao's Last Dancer,Gold.,4800000.0,17500000.0,2010,22300000.0
Just Wright,Fox,21500000.0,29900.0,2010,21529900.0
Our Family Wedding,Fox,20300000.0,1200000.0,2010,21500000.0
My Soul to Take,Uni.,14700000.0,6200000.0,2010,20900000.0
71 Into the Fire,JS,177000.0,20800000.0,2010,20977000.0
"I Love You, Phillip Morris",RAtt.,2000000.0,18700000.0,2010,20700000.0
Country Strong,SGem,20200000.0,310000.0,2010,20510000.0
Another Year,SPC,3200000.0,16500000.0,2010,19700000.0
Youth in Revolt,W/Dim.,15300000.0,4400000.0,2010,19700000.0
Buried,LGF,1000000.0,18100000.0,2010,19100000.0
[Rec] 2,Magn.,27800.0,18500000.0,2010,18527800.0
Repo Men,Uni.,13800000.0,4600000.0,2010,18400000.0
A Prophet (Un prophète),SPC,2100000.0,15800000.0,2010,17900000.0
Soul Kitchen,IFC,277000.0,17600000.0,2010,17877000.0
Mother (2010),Magn.,552000.0,16600000.0,2010,17152000.0
Micmacs,SPC,1300000.0,15100000.0,2010,16400000.0
The Nutcracker in 3D,Free,195000.0,16000000.0,2010,16195000.0
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010,16000000.0
