,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,roi
2521,14,2015-12-31,Vaalu,1900000,0,12444,tt3566698,Vaalu,Vaalu,2015,155.0,"['Comedy', 'Romance']",4.9,701,0.006549473684210526
2522,15,2010-08-27,The Last Exorcism,1800000,41034350,70165900,tt1320244,The Last Exorcism,The Last Exorcism,2010,87.0,"['Drama', 'Horror', 'Thriller']",5.6,45815,38.98105555555556
2523,18,2012-06-27,Beasts of the Southern Wild,1800000,12795746,23265132,tt2125435,Beasts of the Southern Wild,Beasts of the Southern Wild,2012,93.0,"['Adventure', 'Drama', 'Fantasy']",7.3,77440,12.925073333333334
2524,25,2011-08-23,Higher Ground,1800000,841056,842693,tt1562568,Higher Ground,Higher Ground,2011,109.0,['Drama'],6.3,2869,0.46816277777777776
2525,29,2009-12-31,Deadline,1800000,0,0,tt1430811,Deadline,Deadline,2012,95.0,"['Drama', 'Mystery', 'Thriller']",4.8,396,0.0
2526,29,2009-12-31,Deadline,1800000,0,0,tt2106383,Deadline,Deadline,2011,83.0,"['Mystery', 'Thriller']",6.7,347,0.0
2527,29,2009-12-31,Deadline,1800000,0,0,tt2623734,Deadline,Deadline,2016,95.0,"['Comedy', 'Romance']",8.5,15,0.0
2528,31,2012-02-03,Dysfunctional Friends,1800000,0,0,tt1653002,Dysfunctional Friends,Dysfunctional Friends,2012,111.0,"['Comedy', 'Drama']",5.2,760,0.0
2529,32,2013-12-31,Independence Daysaster,1800000,0,0,tt2645670,Independence Daysaster,Independence Daysaster,2013,90.0,"['Action', 'Adventure', 'Sci-Fi']",3.4,974,0.0
2530,37,2010-10-08,I Spit on Your Grave,1750000,93051,1278471,tt1242432,I Spit on Your Grave,I Spit on Your Grave,2010,108.0,"['Horror', 'Thriller']",6.3,68592,0.7305548571428572
2531,38,2019-04-23,Living Dark: The Story of Ted the Caver,1750000,0,0,tt2100573,Living Dark: The Story of Ted the Caver,Living Dark: The Story of Ted the Caver,2013,112.0,['Horror'],5.3,349,0.0
2532,42,2014-02-28,The Lunchbox,1700000,4231500,12231500,tt2350496,The Lunchbox,Dabba,2013,104.0,"['Drama', 'Romance']",7.8,42618,7.195
2533,43,2013-10-04,Grace Unplugged,1700000,2507159,2507159,tt2349460,Grace Unplugged,Grace Unplugged,2013,102.0,"['Drama', 'Music']",6.2,3006,1.4747994117647059
2534,47,2005-06-24,Yes,1700000,396035,661221,tt5797286,Yes,Yes,2016,80.0,"['Adventure', 'Biography', 'Documentary']",8.7,9,0.3889535294117647
2535,48,2019-02-01,Braid,1660000,0,80745,tt4638148,Braid,Braid,2018,82.0,"['Horror', 'Mystery', 'Thriller']",5.3,1115,0.04864156626506024
2536,54,2010-10-15,N-Secure,1600000,2595644,2595644,tt1289419,N-Secure,N-Secure,2010,105.0,"['Crime', 'Drama', 'Thriller']",3.6,587,1.6222775
2537,56,1989-12-31,Out of the Dark,1600000,419428,419428,tt2872724,Out of the Dark,Out of the Dark,2014,92.0,"['Horror', 'Thriller']",4.8,3691,0.2621425
2538,60,2014-09-26,Two Night Stand,1600000,15600,868081,tt2140619,Two Night Stand,Two Night Stand,2014,86.0,"['Comedy', 'Romance']",6.4,60510,0.542550625
2539,63,2011-04-01,Insidious,1500000,54009150,99870886,tt1591095,Insidious,Insidious,2010,103.0,"['Horror', 'Mystery', 'Thriller']",6.9,254197,66.58059066666667
2540,64,2016-10-21,Moonlight,1500000,27854931,65245512,tt4975722,Moonlight,Moonlight,2016,111.0,['Drama'],7.4,227964,43.497008
2541,65,2003-09-12,Cabin Fever,1500000,21158188,30351664,tt3832096,Cabin Fever,Cabin Fever,2016,99.0,['Horror'],3.7,7873,20.234442666666666
2542,70,2018-03-23,Unsane,1500000,7690044,14244931,tt7153766,Unsane,Unsane,2018,98.0,"['Drama', 'Horror', 'Mystery']",6.4,32049,9.496620666666667
2543,74,1945-10-31,Spellbound,1500000,7000000,7000000,tt2132405,Spellbound,O-ssak-han yeon-ae,2011,114.0,"['Comedy', 'Horror', 'Romance']",6.9,2485,4.666666666666667
2544,77,2013-07-26,The To Do List,1500000,3491669,4128828,tt1758795,The To Do List,The To Do List,2013,104.0,"['Comedy', 'Romance']",5.8,34524,2.752552
2545,78,2013-02-01,The Gatekeepers,1500000,2408553,2592308,tt2309788,The Gatekeepers,The Gatekeepers,2012,101.0,"['Documentary', 'History', 'War']",7.6,5214,1.7282053333333334
2546,84,2013-04-19,The Lords of Salem,1500000,1165881,1541131,tt1731697,The Lords of Salem,The Lords of Salem,2012,101.0,"['Horror', 'Thriller']",5.1,25089,1.0274206666666668
